scheme,target,horizon,fold,model,rmse,r2_oos,dir_acc,dm_t_vs_rw
rolling,ret,30,4,OLS,0.047514657160124235,-0.8775565281834619,0.5465263157894736,-8.500252827756677
rolling,ret,30,4,CatBoost,0.033185369740828786,0.08413567433253943,0.6381754385964912,2.4944269278105358
rolling,ret,30,4,RandomForest,0.03231008038540768,0.13181176088563573,0.6432280701754386,3.412529628148417
rolling,ret,30,5,OLS,0.042270067360331995,-0.7432606328872546,0.5087121212121212,-13.995041958209992
rolling,ret,30,5,CatBoost,0.0333004111665746,-0.08192120984003326,0.6079545454545454,-1.9216834837119243
rolling,ret,30,5,RandomForest,0.03331550184290813,-0.08290201588070212,0.624810606060606,-1.7915592502917785
rolling,rel,30,0,OLS,0.02671385612727039,-0.028328649731201416,0.5652173913043478,-0.7881837856095517
rolling,rel,30,0,CatBoost,0.026010828463193785,0.025084129407951905,0.578481945467944,1.2629070015791064
rolling,rel,30,0,RandomForest,0.02555726666885486,0.05878773193156417,0.5666912306558585,2.653444037789553
rolling,rel,30,1,OLS,0.31812690779612207,-205.150969174137,0.5091324200913242,-28.32397731243343
rolling,rel,30,1,CatBoost,0.02315043072174718,-0.09169852584239369,0.5379566210045662,-7.276956214028785
rolling,rel,30,1,RandomForest,0.021754236714290703,0.03601056895258725,0.5664954337899544,4.941620744986777
rolling,rel,30,2,OLS,0.031342753499718205,-0.6441757338469931,0.47487844408427876,-9.726080946313392
rolling,rel,30,2,CatBoost,0.021864892946934777,0.19985508305831434,0.6493787142085359,9.665943472744207
rolling,rel,30,2,RandomForest,0.022400110267708565,0.16020312850255425,0.6572123176661264,8.85431564227216
rolling,rel,30,3,OLS,0.029838613511814834,-0.3549530496878337,0.5164798393843065,-8.128223769457778
rolling,rel,30,3,CatBoost,0.025563075863281146,0.00552656591323919,0.5639953153756065,0.3449744574184322
rolling,rel,30,3,RandomForest,0.025362700723036938,0.021055743916372216,0.5414087334783336,1.758792963980769
rolling,rel,30,4,OLS,0.030471229297129393,-0.36291586536710363,0.5498947368421052,-11.761389842346402
rolling,rel,30,4,CatBoost,0.025025187582178303,0.08072853469163455,0.576,7.371221592976311
rolling,rel,30,4,RandomForest,0.02503988141645732,0.07964869558119325,0.5900350877192982,9.946797993327667
rolling,rel,30,5,OLS,0.024489631372320866,-0.06878610082306857,0.5446969696969697,-2.448900126598632
rolling,rel,30,5,CatBoost,0.023475887984120904,0.01786687609279458,0.581060606060606,1.149646477189383
rolling,rel,30,5,RandomForest,0.023744879584228776,-0.004769039294801214,0.5681818181818182,-0.28979552023001093
